tên;ngày sinh ;giới tính;email;số điện thoại;lớp ;địa chỉ
Tiêu Chấn Hưng;26/11/2001;Nữ;tuantai.mai@yahoo.com;064 3848 984;CNTT20C;
Lê Huy Phong;13/8/2004;Nữ;maianh.pham33@hotmail.com;076 3560 555;CNTT20C;
Thủy Việt Khang;7/2/1997;Nữ;hongdiem.doan53@gmail.com;075 3810 279;CNTT20A;
Nghiêm Xuân Hòa;28/5/2002;Nam;xuanthien57@gmail.com;0211 3869 352;CNTT20B;
Trang Hữu Bình;29/12/1999;Nam;nghiquyen_pham@hotmail.com;077 3846 086;CNTT20C;
Văn Khải Ca;10/9/1997;Nữ;conghao.vuong77@hotmail.com;063 3822 017;CNTT20B;
Hồ Anh Quốc;23/11/2001;Nam;duyhung32@yahoo.com;0210 3857 359;CNTT20B;
Đặng Anh Quốc;18/8/1996;Nam;vinhtho_tang97@hotmail.com;093 687 87 77 ;CNTT20A;
Trần Huy Anh;15/2/2002;Nữ;ngocle_pham@yahoo.com;0510 3934 934;CNTT20B;
Nguyễn Giang Nam;2/8/2004;Nữ;danhvan.ho63@gmail.com;066 3822 905;CNTT20B;
Phó Yến Trâm;29/12/2004;Nữ;baoan.tran49@yahoo.com;0710 3733 889;CNTT20B;
Nguyễn Phương An;9/5/2003;Nữ;danlinh.truong@hotmail.com;039 6255 255;CNTT20A;
Hàn Tú Quyên;7/4/2004;Nam;nhuquan.tran@hotmail.com;0241 2210 779;CNTT20B;
Dữu Tuyết Lan;24/10/1998;Nữ;khaitam79@hotmail.com;091 444 79 26;CNTT20C;
Bạch Ngọc Liên;5/1/2004;Nữ;tranchau_le41@yahoo.com;0710 3813 208;CNTT20A;
Phó Trang Ðài;20/10/2001;Nam;huuhiep.truong60@gmail.com;054 3229 419;CNTT20B;
Ngô Mai Hạ;5/5/2004;Nam;huuthang81@gmail.com;054 3829 389;CNTT20C;
Phan Tuyết Băng;26/4/2004;Nữ;trungchinh40@hotmail.com;063 3831 343;CNTT20B;
Vưu Trang Ðài;20/7/1996;Nữ;ngocthi64@yahoo.com;0241 3822 710;CNTT20C;
Lê Liên Hoa;17/9/1997;Nam;thanhhoa_ho@gmail.com;070 3823 350;CNTT20A;
Nguyễn Quang Đông;29/10/1999;Nam;huuhoang_ly@hotmail.com;063 3540 611;CNTT20A;
Quách Trọng Nhân;14/3/1995;Nam;haimy.bui41@gmail.com;063 3810 888;CNTT20B;
Đỗ Khánh Hoàn;28/3/2001;Nữ;thanhdat.mai53@yahoo.com;052 3842 555;CNTT20B;
Chu Thái Minh;7/5/1997;Nữ;dinhsieu47@gmail.com;063 3821 448;CNTT20A;
Đỗ Gia Ðức;11/4/1997;Nam;minhngoc.bui80@yahoo.com;025 3811 049;CNTT20B;
Lê Trường Giang;6/5/1998;Nữ;annguyen.phung2@yahoo.com;0650 3834 123;CNTT20A;
Phạm Tuấn Linh;13/12/1998;Nam;minhtue.mai2@gmail.com;0241 6252 259;CNTT20A;
Bùi Mạnh Quỳnh;31/5/1997;Nam;thangcanh_phan8@hotmail.com;062 3743 777;CNTT20A;
Trần Thành Ðạt;18/4/2004;Nữ;vietthanh_vu20@gmail.com;066 3829 578;CNTT20C;
Ngư Duy Quang;19/3/1997;Nam;tuyanh.do@yahoo.com;054 3824 244;CNTT20A;
Vũ Nguyên Thảo;18/11/2001;Nam;daithong23@gmail.com;054 3825 748;CNTT20B;
Nguyễn Phương Tâm;15/4/1995;Nam;mailien40@yahoo.com;0241 3508 567;CNTT20B;
Nguyễn Mộng Nguyệt;8/12/2001;Nữ;thuhoai_vuong@gmail.com;059 3875 411;CNTT20A;
Bùi Hoa Liên;14/7/1996;Nữ;locuyen_bui@gmail.com;093 588 90 00;CNTT20A;
Văn Bảo Anh;6/5/2001;Nữ;trongvinh49@hotmail.com;054 3838 347;CNTT20A;
Sái Hương Thủy;24/1/1999;Nam;quocthanh95@gmail.com;076 3849 919;CNTT20B;
Ân Diệu Hương;10/5/1995;Nữ;thuhong52@gmail.com;066 3814 861 ;CNTT20B;
Quang Thục Nhi;18/1/1998;Nam;lamuyen95@hotmail.com;072 3827 805 ;CNTT20B;
Mạch Thụy Nương;3/5/1998;Nam;maiquyen90@hotmail.com;094 323 19 76;CNTT20A;
Ân Dạ Nguyệt;30/4/2004;Nữ;baothoa_doan@yahoo.com;058 3891 075;CNTT20C;
